cset: --> last message, executed args into cpuset "/user", new pid is: 3579655
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
2958277;6.39982;2.33541;3.92986
Runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;1.13776;0.605586;0.80942
10500;1.13412;0.605482;0.812368
11025;1.13118;0.6007;0.811915
11576;1.12527;0.594015;0.808821
12154;1.12002;0.587753;0.806983
12760;1.1191;0.702841;0.870529
13396;1.21586;0.688944;0.871421
14063;1.21118;0.679058;0.872449
14763;1.21137;0.674263;0.871068
15498;1.20905;0.665781;0.873324
16269;1.20385;0.661454;0.877885
17078;1.20548;0.65348;0.879419
17927;1.20318;0.650011;0.882531
18818;1.2045;0.642965;0.882532
19753;1.20403;0.642075;0.88527
20734;1.20781;0.634445;0.887829
21764;1.21089;0.636753;0.898081
22845;1.21809;0.627755;0.898335
23980;1.22351;0.630837;0.906932
25171;1.22559;0.76275;0.984715
26421;1.35369;0.754222;0.9862
27733;1.35711;0.74783;0.993814
29110;1.35599;0.740624;0.99933
30555;1.3603;0.736483;0.99847
32072;1.36116;0.729385;1.0043
33664;1.36486;0.72257;1.00759
35335;1.36844;0.715597;1.00911
37089;1.36989;0.71344;1.01341
38930;1.37212;0.710467;1.0196
40863;1.37389;0.705948;1.02122
42892;1.37769;0.704514;1.024
45022;1.38099;0.70409;1.0284
47258;1.38375;0.700074;1.03104
49605;1.38583;0.849937;1.12176
52069;1.53412;0.840326;1.12026
54656;1.53337;0.828349;1.12533
57372;1.52947;0.825131;1.12555
60223;1.5258;0.812949;1.12736
63216;1.52517;0.805109;1.12923
66358;1.52571;0.796045;1.12979
69657;1.52249;0.792766;1.13205
73120;1.52283;0.783274;1.13125
76756;1.52081;0.777077;1.13125
80573;1.52008;0.773452;1.13228
84580;1.51706;0.764258;1.12954
88787;1.51884;0.758779;1.12725
93204;1.51882;0.755488;1.12769
97841;1.5173;0.751379;1.12733
102709;1.52094;0.899135;1.21708
107820;1.66284;0.888802;1.21472
113186;1.65842;0.8772;1.21378
118820;1.64927;0.866464;1.21215
124735;1.64453;0.858861;1.21237
130945;1.63906;0.85028;1.20819
137465;1.634;0.842225;1.20641
144311;1.62678;0.834691;1.20585
151499;1.62151;0.829761;1.20396
159046;1.62052;0.825164;1.20332
166970;1.61413;0.817925;1.19961
175290;1.60951;0.813325;1.19836
184026;1.60838;0.808524;1.19374
193198;1.6054;0.803771;1.19185
202828;1.60377;0.972625;1.30486
212939;1.77781;0.959195;1.30557
223555;1.77088;0.946529;1.30432
234701;1.76786;0.935846;1.30502
246404;1.76797;0.925785;1.31197
258692;1.768;0.917887;1.31099
271594;1.77233;0.912944;1.31551
285141;1.77852;0.907497;1.31813
299365;1.78813;0.90395;1.32269
314300;1.80118;0.902215;1.32935
329981;1.81411;0.896593;1.33739
346446;1.83362;0.894279;1.34566
363734;1.85622;0.892428;1.35179
381886;1.88085;0.891678;1.36647
400945;1.90829;1.30674;1.67941
420956;2.33912;1.29754;1.70841
