Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
592020;2.23696;1.57815;0.991891
621581;2.62378;2.02443;0.973622
652620;2.48989;1.61101;0.916279
685210;2.28397;1.54445;0.988257
719429;2.37917;1.56728;0.968554
755358;2.38205;1.78764;1.02701
793083;2.49197;1.79655;1.03272
832694;2.74199;2.27853;1.44165
874285;5.00668;2.07875;1.23433
917955;2.97539;2.19479;1.24267
963808;3.18081;2.21632;1.29775
1011953;3.41383;1.37758;0.892825
1062505;2.69609;1.49466;0.884243
1115584;2.8759;1.60672;1.06978
1171316;3.46769;1.82699;1.18042
1229834;3.50319;2.94628;1.7864
1291277;4.40273;2.60635;1.51151
1355792;4.38167;2.66777;1.74602
1423532;3.41205;2.19884;1.28874
1494659;4.25311;2.75882;1.46461
1569342;4.24917;3.51298;1.76834
1647759;5.20859;2.97226;1.61606
1730096;4.44257;3.27755;2.03659
1816549;5.46439;3.4932;2.07296
1907324;5.59604;3.75884;2.32792
2002637;5.78978;2.62434;1.57679
2102715;4.01791;2.3448;1.23515
2207796;4.10294;2.31332;1.35811
2318131;4.50578;2.57508;1.37849
2433982;4.29227;2.42819;1.46455
2555625;4.33663;2.58458;1.4608
2683350;4.49958;2.70031;1.64616
2817461;5.26892;2.92876;1.74942
2958277;5.06824;3.0518;1.83931
Scattered unsuccessful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.801876;0.642315;0.367835
10500;0.859726;0.661745;0.38772
11025;0.89828;0.716412;0.393747
11576;0.945439;0.768661;0.418596
12154;0.98876;0.820189;0.429867
12760;1.0476;0.842716;0.466409
13396;1.18865;0.920558;0.46357
14063;1.18008;0.948618;0.471404
14763;1.23722;1.0504;0.543467
15498;1.35874;0.644985;0.382698
16269;0.872223;0.664461;0.393054
17078;0.924468;0.688776;0.402977
17927;0.954792;0.72904;0.420209
18818;1.01105;0.787625;0.443419
19753;1.04099;0.812996;0.467073
20734;1.09598;0.871032;0.486922
21764;1.19103;0.908889;0.493023
22845;1.21122;0.942796;0.501674
23980;1.26044;0.995856;0.529031
25171;1.28898;1.04136;0.547497
26421;1.3255;1.08336;0.561198
27733;1.43649;1.16124;0.588366
29110;1.50792;1.1691;0.617872
30555;1.75681;1.35338;0.693572
32072;1.71314;0.817534;0.494893
33664;1.04302;0.808921;0.482484
35335;1.15815;0.873265;0.520387
37089;1.21627;1.01461;0.580358
38930;1.29492;1.0157;0.588897
40863;1.19384;0.973073;0.53086
42892;1.27809;1.00627;0.563568
45022;1.33768;1.04575;0.581381
47258;1.36368;1.11095;0.583968
49605;1.44516;1.14146;0.652449
52069;1.50751;1.1794;0.623451
54656;1.54631;1.26164;0.644846
57372;1.59767;1.285;0.692906
60223;1.68151;1.32473;0.688303
63216;1.74803;0.807829;0.519024
66358;1.09711;0.847892;0.588007
69657;1.1891;0.938376;0.591692
73120;1.18713;0.903119;0.592943
76756;1.34508;1.06568;0.62324
80573;1.40075;1.20187;0.676818
84580;1.48416;1.16469;0.705818
88787;1.52879;1.17793;0.705199
93204;1.50411;1.24432;0.721406
97841;1.76409;1.36304;0.737273
102709;1.73725;1.41893;0.765518
107820;1.79198;1.41842;0.791122
113186;1.82452;1.46413;0.802026
118820;1.9018;1.50455;0.842351
124735;1.96983;0.963887;0.622187
130945;1.34569;1.04032;0.673563
137465;1.40025;1.10677;0.699594
144311;1.47321;1.15849;0.710394
151499;1.56894;1.24073;0.746393
159046;1.66346;1.31826;0.786571
166970;2.18924;1.82995;0.973114
175290;1.98985;1.55094;0.958647
184026;2.20711;1.71018;0.915026
193198;2.2489;1.71182;0.997377
202828;2.28301;1.79389;1.00209
212939;2.44333;1.92985;1.04415
223555;2.44854;2.12889;1.30924
234701;4.10593;2.28075;1.1236
246404;2.99011;1.5125;0.845754
258692;2.26957;1.43991;0.833354
271594;1.86787;1.71902;0.961571
285141;1.99083;1.85233;0.893273
299365;2.07236;1.58968;0.952711
314300;2.16151;1.76113;0.974981
329981;2.34847;1.82108;0.997801
346446;2.39582;1.8977;1.07173
363734;2.56725;1.99788;1.10618
381886;2.6388;2.33144;1.20818
400945;2.95976;2.35302;1.20562
420956;3.13594;2.60098;1.27655
441967;3.38837;2.87111;1.34281
464028;3.98435;2.86045;1.37764
487192;6.83893;3.57304;1.47412
511514;4.16326;1.90091;1.03753
537052;2.57961;2.22982;1.16308
563866;3.0262;2.29266;1.15013
592020;3.23264;2.4621;1.35483
621581;3.38627;3.01855;1.49724
652620;3.38253;3.02836;1.32294
685210;3.63565;3.11825;1.50503
719429;3.77331;4.02212;1.6306
755358;3.91179;3.51099;1.75422
793083;4.18753;3.50869;1.52076
832694;4.47304;3.811;1.64619
874285;5.68314;4.36522;1.75402
917955;4.99849;4.23121;1.85488
963808;5.67978;4.52102;2.09475
1011953;5.81061;2.48356;1.30381
1062505;3.52893;2.74747;1.33158
1115584;3.78954;3.04807;1.47883
1171316;3.82306;3.26855;1.60307
1229834;4.22418;3.33434;1.68707
1291277;4.43836;4.37436;1.82568
1355792;4.83941;3.76971;1.79663
1423532;5.07012;4.11925;2.03846
1494659;5.52179;4.37915;2.08067
1569342;5.57507;4.76256;2.18836
1647759;5.94117;4.91856;2.29761
1730096;6.77663;5.28902;2.75527
1816549;6.62249;5.45892;2.54229
1907324;7.03034;5.96642;3.04022
2002637;7.60674;3.64153;1.68896
2102715;4.3458;3.41823;1.71963
2207796;4.55742;3.58204;1.85542
2318131;4.69063;3.80404;1.88434
2433982;5.04508;4.22985;2.08454
2555625;5.41024;4.2419;2.04124
2683350;5.67301;4.60825;2.32454
2817461;5.899;4.77734;2.48957
2958277;6.17249;5.02577;2.52535
