cset: --> last message, executed args into cpuset "/user", new pid is: 505520
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
15498;0.698817;0.690288;0.815835
16269;0.700312;0.684782;0.819631
17078;0.695587;0.673086;0.821875
17927;0.690987;0.668235;0.821959
18818;0.686148;0.660956;0.819369
19753;0.688053;0.65711;0.824295
20734;0.689687;0.650382;0.824755
21764;0.799993;0.647583;0.828513
22845;0.79598;0.641481;0.829979
23980;0.791591;0.64124;0.833629
25171;0.789238;0.810986;0.917461
26421;0.781857;0.804998;0.919922
27733;0.780089;0.797898;0.923314
29110;0.779221;0.786315;0.92877
30555;0.775744;0.778683;0.927762
32072;0.774564;0.768701;0.933201
33664;0.77299;0.761845;0.935107
35335;0.772166;0.753491;0.937605
37089;0.770436;0.746258;0.93825
38930;0.771738;0.742875;0.943052
40863;0.771422;0.73568;0.944516
42892;0.905604;0.731173;0.947136
45022;0.902035;0.729646;0.949405
47258;0.890725;0.723842;0.95251
49605;0.887605;0.915564;1.04372
52069;0.881274;0.901739;1.04287
54656;0.879577;0.88764;1.04639
57372;0.872388;0.877902;1.0464
60223;0.870923;0.866436;1.04668
63216;0.867229;0.85776;1.04987
66358;0.864539;0.846297;1.04834
69657;0.863046;0.838908;1.05013
73120;0.861347;0.828731;1.0473
76756;0.859455;0.819696;1.04895
80573;0.857581;0.81326;1.0504
84580;0.855069;0.801216;1.04576
88787;0.99422;0.795471;1.04392
93204;0.984662;0.787584;1.04385
97841;0.975037;0.782478;1.04343
102709;0.968031;0.97043;1.13315
107820;0.959133;0.956045;1.12947
113186;0.95401;0.942911;1.13033
118820;0.947534;0.928469;1.12567
124735;0.939379;0.91842;1.12614
130945;0.932815;0.905842;1.12336
137465;0.92867;0.894432;1.11961
144311;0.925746;0.884274;1.11735
151499;0.919028;0.87509;1.11811
159046;0.916202;0.868163;1.11676
166970;0.912799;0.859252;1.11234
175290;1.0676;0.852368;1.11084
184026;1.05547;0.844204;1.10686
193198;1.04485;0.836154;1.10578
202828;1.03422;1.04405;1.21516
212939;1.02763;1.02844;1.21575
223555;1.02084;1.01185;1.21866
234701;1.01481;0.99778;1.21736
246404;1.00997;0.984372;1.2226
258692;1.00657;0.973784;1.22416
271594;1.00125;0.965459;1.22662
285141;0.998449;0.956286;1.22809
299365;0.997879;0.949624;1.23078
314300;0.997674;0.94269;1.23646
329981;0.998816;0.936906;1.24355
346446;1.0054;0.931743;1.25429
363734;1.34223;0.926561;1.26057
381886;1.3354;0.926562;1.2723
400945;1.33026;1.41644;1.59478
420956;1.32999;1.40715;1.61966
441967;1.33054;1.3905;1.64979
464028;1.34021;1.37573;1.67263
487192;1.35158;1.36348;1.70712
511514;1.3693;1.35251;1.75437
537052;1.38594;1.34678;1.79698
563866;1.40333;1.34033;1.82993
592020;1.42781;1.33442;1.87097
621581;1.45366;1.33393;1.91727
652620;1.48546;1.33574;1.96204
685210;1.52091;1.33726;2.00746
719429;2.27238;1.33833;2.06299
755358;2.28658;1.34646;2.12089
793083;2.29621;2.18371;2.64956
832694;2.30154;2.17564;2.71788
874285;2.31323;2.1581;2.77731
917955;2.33194;2.14068;2.84055
963808;2.34822;2.126;2.89755
1011953;2.37001;2.11404;2.95477
1062505;2.39177;2.10929;3.01113
1115584;2.41381;2.10046;3.06317
1171316;2.44198;2.10411;3.11673
1229834;2.46777;2.09372;3.16507
1291277;2.49711;2.09465;3.20521
1355792;2.53059;2.09872;3.25578
1423532;2.56265;2.10249;3.29265
1494659;3.50948;2.11134;3.34497
1569342;3.50424;2.11656;3.39554
1647759;3.49216;3.10297;4.00753
1730096;3.49565;3.06744;4.04538
1816549;3.48887;3.02991;4.08092
1907324;3.49018;3.00686;4.11375
2002637;3.48634;2.9744;4.13832
2102715;3.49442;2.94023;4.17034
2207796;3.49553;2.92584;4.19585
2318131;3.49617;2.8951;4.22504
2433982;3.49067;2.88442;4.24993
2555625;3.50342;2.86472;4.28085
2683350;3.51262;2.8484;4.30553
2817461;3.51988;2.84278;4.33029
2958277;5.79023;2.83763;4.34741
Runnning insertion, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.962057;0.810829;0.946588
10500;0.959702;0.799199;0.962396
11025;0.950375;0.797072;0.933642
11576;0.949978;0.795823;0.960382
12154;1.02627;0.877133;1.01701
12760;1.02337;0.874868;1.01945
13396;0.945538;0.785764;1.02296
14063;0.942748;0.78591;0.94188
14763;0.942921;0.787849;0.943254
15498;0.966514;0.824992;0.913235
16269;1.06366;0.911125;1.08038
17078;1.04519;0.900775;1.01028
17927;1.0457;0.894784;1.01214
18818;1.03659;0.891593;1.02329
19753;1.03725;0.888498;1.02171
20734;1.03349;0.889474;1.02629
21764;1.03205;0.884407;1.02811
22845;1.03237;0.886006;1.0635
23980;1.02965;0.883352;1.02983
25171;1.02963;0.880394;1.06791
26421;1.03457;0.880773;1.04208
27733;1.037;0.890361;1.07478
29110;1.04159;0.884819;1.0959
30555;1.08259;0.893747;1.1027
32072;1.04595;0.945175;1.04414
33664;1.07942;0.936372;1.04615
35335;1.07233;0.920413;1.05163
37089;1.06478;0.91223;1.05343
38930;1.06205;0.903413;1.05737
40863;1.05777;0.900387;1.06035
42892;1.0594;0.893821;1.06359
45022;1.05234;0.888153;1.06449
47258;1.05429;0.891312;1.06553
49605;1.05753;0.888203;1.06778
52069;1.05641;0.880954;1.07129
54656;1.05229;0.885987;1.07702
57372;1.05702;0.889249;1.08314
60223;1.06379;0.890736;1.08838
63216;1.06389;1.06819;1.18451
66358;1.21299;1.05586;1.18902
69657;1.20238;1.04236;1.19092
73120;1.19683;1.03505;1.19516
76756;1.1946;1.02897;1.19756
80573;1.18705;1.024;1.19919
84580;1.18501;1.01706;1.19806
88787;1.18056;1.01472;1.20056
93204;1.17776;1.00741;1.20367
97841;1.17436;1.0086;1.20552
102709;1.17652;1.00441;1.20844
107820;1.17981;1.00847;1.20986
113186;1.1843;1.01043;1.21579
118820;1.18474;1.01042;1.21903
124735;1.18509;1.19283;1.32002
130945;1.18988;1.18228;1.32048
137465;1.33771;1.16972;1.32426
144311;1.32592;1.1591;1.32047
151499;1.31544;1.14708;1.31903
159046;1.30816;1.13801;1.32098
166970;1.29941;1.13166;1.31846
175290;1.28939;1.12035;1.31617
184026;1.28508;1.11689;1.31538
193198;1.28158;1.11017;1.31517
202828;1.27752;1.10455;1.31199
212939;1.27898;1.10635;1.31655
223555;1.27887;1.102;1.31679
234701;1.28104;1.1013;1.31787
246404;1.28024;1.30082;1.43251
258692;1.28379;1.28405;1.42974
271594;1.45601;1.26814;1.42903
285141;1.44294;1.25266;1.43206
299365;1.43729;1.23765;1.43175
314300;1.42795;1.23279;1.4336
329981;1.42028;1.2209;1.43131
346446;1.41652;1.22047;1.43646
363734;1.41287;1.20915;1.43906
381886;1.41296;1.20648;1.44208
400945;1.41552;1.20852;1.45309
420956;1.41985;1.21062;1.46487
441967;1.43011;1.21622;1.47369
464028;1.44268;1.22653;1.49429
487192;1.45783;1.23485;1.5127
511514;1.47644;1.63691;1.77985
537052;1.50275;1.63207;1.81156
563866;1.96721;1.62003;1.84259
592020;1.96773;1.61585;1.87923
621581;1.96848;1.61306;1.92323
652620;1.97965;1.62201;1.96354
685210;1.99689;1.64059;2.03032
719429;2.02136;1.64547;2.06087
755358;2.05233;1.67415;2.13467
793083;2.08714;1.69419;2.18939
832694;2.12583;1.72549;2.25019
874285;2.17949;1.77119;2.31921
917955;2.23484;1.81386;2.39585
963808;2.29408;1.86765;2.47535
1011953;2.36655;2.72862;3.07192
1062505;2.43967;2.70687;3.14837
1115584;3.40142;2.70276;3.21171
1171316;3.39981;2.70577;3.29013
1229834;3.41449;2.70048;3.3546
1291277;3.43256;2.70288;3.42987
1355792;3.45025;2.7089;3.4976
1423532;3.48208;2.72895;3.56793
1494659;3.51114;2.7534;3.63645
1569342;3.54951;2.78805;3.66612
1647759;3.59354;2.816;3.74532
1730096;3.63929;2.8579;3.80268
1816549;3.70075;2.90325;3.90556
1907324;3.75964;2.9489;3.97144
2002637;3.82189;4.03154;4.67667
2102715;3.89185;3.98688;4.74347
2207796;3.96522;3.96138;4.77548
2318131;5.01636;3.94019;4.85732
2433982;5.01935;3.92353;4.89425
2555625;5.01348;3.91908;4.95699
2683350;5.01748;3.92389;4.99155
2817461;5.0299;3.9317;5.05282
2958277;5.02562;3.93638;5.08639
