Scattered successful lookup, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
25171;0.553893;0.457802;0.329115
26421;0.571518;0.472908;0.338686
27733;0.583094;0.494863;0.352285
29110;0.613338;0.514627;0.360655
30555;0.645369;0.53449;0.371987
32072;0.664717;0.339013;0.264776
33664;0.453542;0.340685;0.265769
35335;0.465282;0.351598;0.271374
37089;0.483874;0.355321;0.276043
38930;0.501431;0.369509;0.282025
40863;0.517208;0.381814;0.287152
42892;0.537642;0.396636;0.295836
45022;0.575586;0.415043;0.302975
47258;0.594965;0.435882;0.311792
49605;0.630158;0.456295;0.319706
52069;0.661923;0.4847;0.334504
54656;0.686403;0.51484;0.347468
57372;0.73082;0.543312;0.35861
60223;0.775495;0.57555;0.374081
63216;0.80581;0.401216;0.298017
66358;0.608062;0.417961;0.306415
69657;0.630134;0.439345;0.31677
73120;0.653651;0.455649;0.323375
76756;0.678258;0.485005;0.341804
80573;0.708954;0.503725;0.350761
84580;0.733528;0.530411;0.359303
88787;0.769866;0.555111;0.376892
93204;0.796215;0.575671;0.394632
97841;0.819973;0.606791;0.407044
102709;0.865559;0.633078;0.426986
107820;0.904689;0.666996;0.436847
113186;0.942307;0.700889;0.457573
118820;0.978715;0.731814;0.473042
124735;1.016;0.516006;0.376663
130945;1.05894;0.529652;0.381564
137465;0.747071;0.551303;0.391595
144311;0.772372;0.571311;0.407836
151499;0.796985;0.589973;0.410071
159046;0.8211;0.61067;0.434104
166970;0.840554;0.635334;0.443588
175290;0.874325;0.661487;0.453328
184026;0.915645;0.686574;0.475996
193198;0.962969;0.732216;0.484555
202828;1.01951;0.769044;0.518245
212939;1.0853;0.821269;0.546974
223555;1.14027;0.859676;0.566657
234701;1.20242;0.913561;0.598119
246404;1.25051;0.598138;0.427918
258692;1.31763;0.621466;0.449659
271594;0.914861;0.645611;0.46587
285141;0.949751;0.672318;0.468914
299365;0.992452;0.699937;0.482472
314300;1.03411;0.732782;0.504761
329981;1.07202;0.761868;0.528445
346446;1.11584;0.799005;0.534404
363734;1.16355;0.836019;0.549599
381886;1.21955;0.877281;0.570396
400945;1.27505;0.913694;0.612323
420956;1.32319;0.950611;0.638442
441967;1.27847;0.747634;0.503733
464028;1.07547;0.788422;0.534437
487192;1.07932;0.810854;0.521951
511514;1.13117;0.567351;0.411071
537052;1.17808;0.587408;0.419376
563866;0.786181;0.610215;0.43479
592020;0.822646;0.624593;0.440824
621581;0.835103;0.657731;0.449512
652620;0.877758;0.699648;0.466895
685210;0.916708;0.705392;0.477784
719429;0.989285;0.740248;0.492057
755358;1.0469;0.76995;0.506674
793083;1.04164;0.836269;0.530253
832694;1.14752;0.869972;0.531404
874285;1.20995;0.945209;0.533763
917955;1.2537;1.08891;0.56312
963808;1.59264;1.04186;0.599995
1011953;1.40556;0.60293;0.431607
1062505;1.56941;0.656579;0.443903
1115584;1.1336;0.665002;0.456171
1171316;1.17389;0.729855;0.455798
1229834;1.27372;0.774742;0.481823
1291277;1.39442;0.898635;0.501492
1355792;1.57683;0.921571;0.526835
1423532;1.5386;0.97327;0.562477
1494659;1.80266;1.05549;0.591118
1569342;1.78224;1.21254;0.613335
1647759;1.95218;1.3686;0.662042
1730096;2.0092;1.37251;0.71376
1816549;2.21615;1.44036;0.749045
1907324;2.38199;1.56565;0.821023
2002637;2.47458;1.04548;0.652636
2102715;2.61349;1.05517;0.671899
2207796;2.75527;1.17933;0.745232
2318131;2.10126;1.28973;0.830176
2433982;2.29841;1.33313;0.810032
2555625;2.21775;1.36051;0.83217
2683350;2.35352;1.50532;0.884313
2817461;2.43456;1.57555;0.93359
2958277;2.58854;1.65234;0.968157
Scattered unsuccessful lookup, Fmax=5, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
10000;0.65344;0.431902;0.268229
10500;0.68389;0.45308;0.275061
11025;0.713611;0.471027;0.282158
11576;0.741679;0.492482;0.29014
12154;0.762574;0.507652;0.300808
12760;0.791232;0.527993;0.305615
13396;0.816454;0.546047;0.312172
14063;0.843263;0.56628;0.320105
14763;0.875095;0.586373;0.333097
15498;0.901804;0.394784;0.248642
16269;0.595717;0.408111;0.25954
17078;0.615077;0.421865;0.264602
17927;0.636195;0.437104;0.270826
18818;0.65713;0.460969;0.279105
19753;0.68185;0.473232;0.288177
20734;0.708627;0.497684;0.296389
21764;0.738163;0.515813;0.30562
22845;0.765957;0.532945;0.313319
23980;0.792355;0.552607;0.322988
25171;0.826818;0.580051;0.331703
26421;0.852905;0.598917;0.340949
27733;0.898309;0.624553;0.348577
29110;0.946621;0.655275;0.361464
30555;0.998549;0.688142;0.373168
32072;1.04851;0.466051;0.266903
33664;0.719284;0.487734;0.276896
35335;0.757139;0.517888;0.283447
37089;0.807927;0.547662;0.295331
38930;0.844228;0.575803;0.306787
40863;0.894408;0.607473;0.311133
42892;0.949864;0.644052;0.329137
45022;1.00048;0.679859;0.340147
47258;1.06276;0.722285;0.350735
49605;1.1188;0.757474;0.364914
52069;1.17899;0.801117;0.38641
54656;1.23909;0.84498;0.402053
57372;1.29684;0.885347;0.412196
60223;1.36166;0.923187;0.432777
63216;1.42083;0.577565;0.324319
66358;0.89406;0.600135;0.333364
69657;0.939321;0.630611;0.349059
73120;0.98131;0.656179;0.358545
76756;1.0285;0.688997;0.38243
80573;1.07658;0.722129;0.389976
84580;1.12841;0.754325;0.392403
88787;1.17615;0.785647;0.414579
93204;1.22943;0.820989;0.422907
97841;1.28063;0.856595;0.450824
102709;1.33586;0.901115;0.468329
107820;1.40015;0.936281;0.465077
113186;1.45204;0.978246;0.492099
118820;1.51531;1.02595;0.496995
124735;1.58823;0.632857;0.374806
130945;1.64433;0.657201;0.382718
137465;1.00802;0.687017;0.394165
144311;1.05511;0.711091;0.409345
151499;1.09794;0.743476;0.415224
159046;1.13954;0.776133;0.436207
166970;1.19772;0.808384;0.449429
175290;1.24342;0.841864;0.458934
184026;1.28928;0.878642;0.478628
193198;1.35532;0.914651;0.482707
202828;1.40756;0.952965;0.514742
212939;1.4643;0.997325;0.525253
223555;1.52689;1.03724;0.540976
234701;1.58164;1.08015;0.558801
246404;1.65157;0.646339;0.395092
258692;1.72107;0.670971;0.414226
271594;1.04801;0.705117;0.431471
285141;1.09373;0.730466;0.432097
299365;1.16469;0.769245;0.4454
314300;1.18665;0.795846;0.465221
329981;1.28398;0.832178;0.48098
346446;1.30667;0.858674;0.484589
363734;1.36734;0.90341;0.497219
381886;1.41587;0.941739;0.507164
400945;1.47486;0.982451;0.554164
420956;1.5248;1.02641;0.556223
441967;1.60279;1.08914;0.563707
464028;1.75021;1.13805;0.594723
487192;1.76212;1.17085;0.585749
511514;1.9194;0.724619;0.439361
537052;1.9676;0.764417;0.461335
563866;1.21531;0.82693;0.475227
592020;1.29931;0.835923;0.484383
621581;1.38599;0.92381;0.503467
652620;1.48257;1.00747;0.527293
685210;1.81745;1.06862;0.555569
719429;2.02723;1.26432;0.593522
755358;2.04608;1.36231;0.641073
793083;2.08182;1.38189;0.687359
832694;2.29538;1.4636;0.668679
874285;2.3572;1.60358;0.648288
917955;2.60554;1.63543;0.683091
963808;2.7762;2.13505;0.76002
1011953;2.89802;1.19062;0.558301
1062505;3.32429;1.30793;0.602769
1115584;2.12898;1.40042;0.680071
1171316;2.07959;1.56974;0.680342
1229834;2.54462;1.66584;0.740589
1291277;2.62317;1.78735;0.816851
1355792;2.8306;1.85835;0.857416
1423532;3.01799;2.01354;0.851982
1494659;3.24777;2.19154;0.929947
1569342;3.44298;2.3158;0.965276
1647759;3.65296;2.52807;1.08376
1730096;3.98315;2.63041;1.13869
1816549;4.35021;2.8699;1.3683
1907324;4.58907;2.96327;1.41545
2002637;4.78063;1.78918;0.950903
2102715;5.09837;1.91199;1.04639
2207796;5.38882;1.96446;1.04273
2318131;3.15277;2.09233;1.09922
2433982;3.3829;2.17837;1.1517
2555625;3.54234;2.3324;1.27167
2683350;3.79471;2.44217;1.24863
2817461;3.96771;2.60088;1.33818
2958277;4.21651;2.68341;1.37701
